,Job Title
0,newData Analyst II
1,newData Science Co-Op (Fall 2022)
2,"Analyst I/Analyst II, Data Science Underwriting Modeler"
3,"Associate, Data Science"
4,newGraduate Data Scientist - Role Can be Remote
5,newQuality Control Base Data Specialist
6,"Analyst, Revenue Data Analytics"
7,Data Analyst (Remote)
8,newLead Patient Appointment Servies Specialist
9,Machine Learning Data Associate
10,newData Scientist - Operations
11,AI and Machine Learning Trainee (Summer 2022)
12,newData Scientist
13,"Director of Data Science, Ads"
14,"Senior Director, Data Science"
